學校名稱,印尼外國學位生人數,寮國外國學位生人數,新加坡外國學位生人數,柬埔寨外國學位生人數,汶萊外國學位生人數,泰國外國學位生人數,緬甸外國學位生,菲律賓外國學位生,越南外國學位生,馬來西亞外國學位生,印尼僑生,寮國僑生,新加坡僑生,柬埔寨僑生,汶萊僑生,泰國僑生,緬甸僑生,菲律賓僑生,越南僑生,馬來西亞僑生,合計
國立聯合大學,3,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,1,0,4,19,44
東方設計大學,22,0,0,0,0,0,11,0,4,0,1,0,0,0,0,0,1,0,0,0,39
國立宜蘭大學,3,0,0,0,0,1,0,0,3,0,6,0,0,0,0,0,0,0,2,22,37
環球科技大學,0,0,0,0,0,0,0,0,19,11,3,0,0,0,0,0,0,0,0,1,34
台南應用科技大學,1,0,1,0,0,1,0,0,4,14,1,0,0,0,0,0,0,0,0,11,33
國立臺南藝術大學,0,0,6,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,20,30
華梵大學,0,0,0,0,0,0,1,0,20,3,1,0,0,0,0,0,0,0,1,3,29
大同大學,5,0,0,0,0,0,2,1,4,1,4,0,0,0,0,0,0,0,1,4,22
國立臺東大學,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,11,21
國立體育大學,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,17,20
中華醫事科技大學,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,4,13
國立澎湖科技大學,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,12
長庚科技大學,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,5,10
美和科技大學,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,9
一貫道崇德學院,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,6
中信金融管理學院,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,6
聖母醫護管理專科學校,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
一貫道天皇學院,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
台灣神學研究學院,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
國立臺南護理專科學校,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
國立臺灣戲曲學院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
基督教台灣浸會神學院,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
臺北基督學院,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
馬偕醫學院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
南亞技術學院,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
大同技術學院,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
康寧大學,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
敏惠醫護管理專科學校,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
耕莘健康管理專科學校,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
馬偕醫護管理專科學校,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
總計,"5,110",7,109,30,4,"1,538",246,"1,675","16,111","2,511","4,990",1,65,54,4,358,"1,521",119,"2,819","7,586","44,858"
